               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.041129,            0.011832,            0.012851,             0.79908,             0.97674,             0.93983,             0.59598,            0.022726,           0.0057339,           0.0065797,            0.009307,            0.009307,            0.009307
                  37,            0.041733,            0.012306,               0.016,             0.48298,             0.96341,             0.75251,             0.43059,            0.028935,           0.0059591,           0.0065994,           0.0092872,           0.0092872,           0.0092872
                  38,            0.039962,            0.011375,            0.015871,             0.96735,             0.97674,             0.96894,             0.56945,             0.02141,           0.0054498,            0.006814,           0.0092674,           0.0092674,           0.0092674
                  39,            0.036298,             0.01069,            0.012176,             0.57582,             0.96987,             0.85647,             0.49545,            0.027255,           0.0056106,           0.0067654,           0.0092476,           0.0092476,           0.0092476
                  40,            0.042799,            0.011007,            0.013607,             0.64811,             0.97674,             0.82287,             0.44564,            0.025045,           0.0056138,           0.0066103,           0.0092278,           0.0092278,           0.0092278
                  41,              0.0454,            0.011836,            0.015145,             0.68475,             0.88514,              0.7834,             0.38819,            0.025754,           0.0056689,           0.0090928,            0.009208,            0.009208,            0.009208
                  42,            0.043096,             0.01013,            0.017596,             0.86883,             0.94186,             0.92499,             0.59445,            0.018902,           0.0051722,           0.0081298,           0.0091882,           0.0091882,           0.0091882
                  43,             0.03581,            0.012297,            0.015642,              0.9272,             0.89464,             0.95384,             0.52971,            0.023509,           0.0053752,           0.0065696,           0.0091684,           0.0091684,           0.0091684
                  44,            0.039143,           0.0099271,            0.013889,             0.48839,             0.80875,             0.64998,             0.36348,             0.02811,           0.0054862,           0.0065326,           0.0091486,           0.0091486,           0.0091486
                  45,            0.042456,            0.012072,            0.018709,             0.88387,             0.93671,             0.95882,             0.47053,            0.024069,           0.0054559,           0.0065332,           0.0091288,           0.0091288,           0.0091288
                  46,            0.040454,             0.01046,            0.014395,               0.548,             0.89345,             0.80194,             0.49128,            0.022261,           0.0052026,           0.0064736,            0.009109,            0.009109,            0.009109
                  47,            0.036717,           0.0085837,            0.012907,             0.85329,             0.92769,             0.93741,             0.56618,            0.021963,           0.0051815,           0.0070446,           0.0090892,           0.0090892,           0.0090892
                  48,            0.034977,            0.010349,            0.012765,             0.95574,             0.97556,             0.97316,             0.53457,            0.023267,           0.0052436,           0.0067494,           0.0090694,           0.0090694,           0.0090694
                  49,            0.031951,           0.0089645,            0.013131,             0.55311,             0.96359,             0.79481,              0.4151,            0.026669,           0.0052286,           0.0063128,           0.0090496,           0.0090496,           0.0090496
                  50,            0.037649,             0.01019,            0.019781,             0.84682,             0.96359,             0.97298,             0.62864,            0.020784,           0.0049073,           0.0066179,           0.0090298,           0.0090298,           0.0090298
                  51,             0.03492,            0.011355,            0.014506,             0.64033,             0.91095,              0.9463,             0.60992,            0.022023,           0.0048461,           0.0073141,             0.00901,             0.00901,             0.00901
                  52,            0.038472,           0.0090543,            0.010726,             0.77503,              0.7399,             0.81624,             0.45095,            0.026085,            0.004993,           0.0073003,           0.0089902,           0.0089902,           0.0089902
                  53,            0.036278,           0.0084268,            0.020543,             0.80423,             0.96972,             0.92415,             0.55231,              0.0249,           0.0050144,           0.0064388,           0.0089704,           0.0089704,           0.0089704
                  54,            0.035126,            0.010903,            0.018872,             0.87243,             0.97674,             0.94172,             0.62706,             0.01794,           0.0048428,           0.0065032,           0.0089506,           0.0089506,           0.0089506
                  55,            0.032676,           0.0091703,            0.010246,             0.97095,             0.97674,             0.96604,              0.7046,            0.016395,           0.0047061,           0.0066591,           0.0089308,           0.0089308,           0.0089308
                  56,            0.040449,            0.010335,            0.018955,             0.72111,             0.97674,             0.96216,             0.50787,            0.024594,           0.0051198,           0.0066256,            0.008911,            0.008911,            0.008911
                  57,            0.030178,            0.010065,            0.011238,             0.68154,             0.94186,             0.91421,              0.5371,            0.018827,           0.0049947,           0.0069858,           0.0088912,           0.0088912,           0.0088912
                  58,            0.031395,            0.010047,            0.011365,             0.68484,             0.88301,             0.84918,             0.53254,            0.024432,           0.0049841,           0.0065985,           0.0088714,           0.0088714,           0.0088714
                  59,            0.034127,           0.0086815,            0.010844,             0.56447,             0.97674,             0.81752,             0.51543,             0.02815,           0.0053518,           0.0062931,           0.0088516,           0.0088516,           0.0088516
                  60,            0.040187,            0.010336,           0.0097972,             0.46649,             0.97674,             0.86104,             0.38449,            0.023462,           0.0048981,            0.006324,           0.0088318,           0.0088318,           0.0088318
                  61,            0.033186,            0.010709,             0.01184,             0.79771,             0.97674,             0.95667,             0.58087,            0.020703,           0.0052696,            0.006442,            0.008812,            0.008812,            0.008812
                  62,            0.037052,            0.011249,            0.016776,             0.69032,             0.96512,             0.94744,             0.58149,            0.019603,           0.0049935,            0.006546,           0.0087922,           0.0087922,           0.0087922
                  63,            0.028151,           0.0082573,            0.011906,             0.67081,             0.97674,              0.9393,             0.56441,            0.020744,           0.0050003,           0.0064321,           0.0087724,           0.0087724,           0.0087724
                  64,            0.034942,            0.011151,            0.012522,             0.97144,             0.97674,             0.98625,             0.61843,            0.018742,           0.0048749,           0.0064177,           0.0087526,           0.0087526,           0.0087526
                  65,            0.028573,           0.0088912,            0.012262,              0.7477,              0.9409,              0.9429,             0.44324,            0.025381,           0.0052065,           0.0064503,           0.0087328,           0.0087328,           0.0087328
                  66,            0.033376,           0.0081768,            0.011216,             0.97166,             0.97674,             0.98974,             0.74099,            0.015009,           0.0047853,           0.0064237,            0.008713,            0.008713,            0.008713
                  67,            0.031192,            0.010068,            0.010264,             0.90728,             0.97674,             0.97481,             0.62754,            0.023521,           0.0049275,           0.0061493,           0.0086932,           0.0086932,           0.0086932
                  68,            0.035054,           0.0093148,            0.010843,             0.95874,             0.97674,             0.98918,             0.73052,            0.017823,           0.0048144,           0.0061523,           0.0086734,           0.0086734,           0.0086734
                  69,             0.02755,           0.0077738,           0.0093497,             0.95948,             0.97674,             0.98995,             0.61915,            0.018521,           0.0046604,           0.0060371,           0.0086536,           0.0086536,           0.0086536
                  70,             0.02923,             0.01091,            0.010597,             0.69346,             0.97674,             0.81328,             0.56672,            0.017639,           0.0046996,           0.0059604,           0.0086338,           0.0086338,           0.0086338
                  71,            0.034031,           0.0096727,            0.012304,             0.96711,             0.97674,             0.98949,             0.68775,             0.01611,            0.004694,           0.0061752,            0.008614,            0.008614,            0.008614
                  72,            0.032285,           0.0085135,            0.018668,             0.96616,             0.97674,             0.99093,             0.57525,            0.019514,           0.0047939,           0.0062838,           0.0085942,           0.0085942,           0.0085942
                  73,            0.025593,           0.0078411,            0.012985,             0.74522,             0.97674,             0.95848,             0.58668,            0.023849,            0.004954,           0.0059031,           0.0085744,           0.0085744,           0.0085744
                  74,            0.032657,           0.0074628,            0.013317,             0.91634,             0.95621,             0.98097,             0.73648,            0.017201,           0.0046261,            0.006365,           0.0085546,           0.0085546,           0.0085546
                  75,            0.025038,           0.0092667,             0.01341,             0.95523,             0.96643,             0.98007,             0.71949,            0.013031,           0.0044233,           0.0065331,           0.0085348,           0.0085348,           0.0085348
                  76,            0.029442,           0.0099442,            0.010819,             0.83741,             0.97674,             0.94984,             0.63028,            0.020862,           0.0048341,           0.0058612,            0.008515,            0.008515,            0.008515
                  77,            0.027323,           0.0092062,            0.010796,             0.73005,             0.97674,             0.96864,              0.6623,            0.017827,           0.0047344,           0.0057779,           0.0084952,           0.0084952,           0.0084952
                  78,            0.029411,           0.0094171,            0.010829,             0.89414,             0.97674,             0.95933,             0.60102,            0.016828,           0.0045472,           0.0057709,           0.0084754,           0.0084754,           0.0084754
                  79,            0.024305,            0.007449,            0.012051,             0.91751,             0.97674,             0.97446,             0.63599,            0.018007,           0.0045468,           0.0058417,           0.0084556,           0.0084556,           0.0084556
                  80,            0.027031,           0.0077833,             0.02119,             0.81449,             0.97674,             0.82941,             0.58743,            0.016438,           0.0044483,           0.0058557,           0.0084358,           0.0084358,           0.0084358
                  81,            0.029181,           0.0081293,            0.011877,              0.8509,             0.97674,             0.95858,             0.46726,             0.02127,           0.0048706,           0.0058105,            0.008416,            0.008416,            0.008416
                  82,            0.030491,           0.0079608,           0.0099565,             0.96524,             0.97674,             0.96781,             0.64855,               0.016,           0.0047549,           0.0058509,           0.0083962,           0.0083962,           0.0083962
                  83,            0.027357,           0.0084078,            0.011314,             0.82721,             0.97674,             0.96825,             0.49914,            0.022724,           0.0048726,           0.0058082,           0.0083764,           0.0083764,           0.0083764
                  84,            0.030608,            0.007966,           0.0072161,             0.97277,             0.97674,             0.97779,             0.68547,            0.014544,           0.0046236,           0.0058834,           0.0083566,           0.0083566,           0.0083566
                  85,            0.028123,             0.00948,           0.0097888,             0.72196,             0.97674,             0.96536,              0.5599,            0.018063,           0.0048592,           0.0058255,           0.0083368,           0.0083368,           0.0083368
                  86,            0.029239,           0.0083207,           0.0098001,             0.97263,             0.97674,              0.9848,             0.74089,            0.016961,           0.0047287,           0.0058894,            0.008317,            0.008317,            0.008317
                  87,            0.026563,            0.008874,            0.010058,             0.97317,             0.97674,             0.98674,             0.73544,            0.019182,            0.004804,           0.0057394,           0.0082972,           0.0082972,           0.0082972
                  88,            0.028967,           0.0082315,             0.01096,             0.96067,              0.9558,             0.98603,             0.74645,             0.01656,           0.0047385,           0.0062952,           0.0082774,           0.0082774,           0.0082774
                  89,            0.025054,           0.0073031,           0.0083608,             0.78592,             0.95349,             0.92966,             0.72265,            0.016662,           0.0048364,           0.0070682,           0.0082576,           0.0082576,           0.0082576
                  90,            0.032404,            0.010809,            0.012296,             0.95456,             0.97674,             0.98416,             0.68493,            0.013889,           0.0046053,           0.0071657,           0.0082378,           0.0082378,           0.0082378
                  91,            0.026366,           0.0079652,            0.010946,             0.93654,             0.93727,             0.98292,             0.64702,            0.018817,           0.0046346,           0.0080449,            0.008218,            0.008218,            0.008218
                  92,            0.030906,           0.0083604,            0.012475,             0.95159,             0.96359,             0.97634,             0.71922,            0.014886,           0.0044766,           0.0073645,           0.0081982,           0.0081982,           0.0081982
                  93,            0.029674,           0.0087399,            0.010329,             0.95914,             0.96359,             0.97383,             0.70004,            0.016358,           0.0044232,           0.0065002,           0.0081784,           0.0081784,           0.0081784
                  94,            0.026337,           0.0077559,            0.011341,              0.9526,              0.9757,             0.98046,             0.81425,            0.014579,           0.0044793,           0.0064408,           0.0081586,           0.0081586,           0.0081586
                  95,            0.025839,           0.0082083,           0.0086418,             0.94931,             0.97432,              0.9816,             0.60184,            0.018179,           0.0051144,           0.0066511,           0.0081388,           0.0081388,           0.0081388
                  96,            0.029802,           0.0080742,            0.013476,             0.95275,             0.96478,             0.98053,              0.7658,            0.015712,           0.0052736,           0.0070984,            0.008119,            0.008119,            0.008119
                  97,            0.024156,           0.0074542,              0.0216,              0.9268,              0.9199,             0.97507,             0.50479,            0.023499,           0.0058217,           0.0090048,           0.0080992,           0.0080992,           0.0080992
                  98,            0.027534,           0.0075723,           0.0090442,             0.89601,             0.96937,             0.97266,             0.69568,            0.018334,            0.005437,           0.0089632,           0.0080794,           0.0080794,           0.0080794
                  99,            0.027214,            0.007982,           0.0085636,             0.93166,             0.90735,             0.97942,             0.50214,            0.021549,           0.0055068,           0.0094633,           0.0080596,           0.0080596,           0.0080596
                 100,            0.031514,           0.0088642,            0.011597,             0.76813,             0.96619,              0.8902,              0.6595,            0.018656,           0.0051908,           0.0082703,           0.0080398,           0.0080398,           0.0080398
                 101,            0.027857,           0.0093521,           0.0094832,             0.96302,             0.95529,             0.98258,             0.61476,            0.018918,           0.0051574,           0.0067956,             0.00802,             0.00802,             0.00802
                 102,            0.030269,           0.0089086,            0.012535,             0.96436,             0.97481,              0.9868,             0.78237,             0.01316,           0.0045127,           0.0062548,           0.0080002,           0.0080002,           0.0080002
                 103,            0.026458,           0.0098241,            0.010985,             0.97277,             0.97674,              0.9816,             0.68731,            0.015984,           0.0044819,           0.0058364,           0.0079804,           0.0079804,           0.0079804
                 104,            0.026487,           0.0093825,           0.0079951,             0.97281,             0.97674,              0.9804,             0.75015,            0.013045,           0.0042698,           0.0057751,           0.0079606,           0.0079606,           0.0079606
                 105,            0.022261,           0.0071496,           0.0092664,             0.96803,             0.97674,             0.98257,               0.703,            0.015324,           0.0044826,            0.005661,           0.0079408,           0.0079408,           0.0079408
                 106,            0.027186,            0.008674,           0.0089193,              0.9024,             0.97674,             0.98368,             0.66939,            0.019965,            0.004447,           0.0055504,            0.007921,            0.007921,            0.007921
                 107,            0.026475,           0.0095554,            0.012357,             0.96971,             0.97674,             0.98877,             0.70872,            0.018172,           0.0045359,           0.0054971,           0.0079012,           0.0079012,           0.0079012
                 108,            0.028909,            0.010483,           0.0083687,             0.96929,             0.97674,             0.99103,             0.70925,            0.013184,           0.0042094,            0.005581,           0.0078814,           0.0078814,           0.0078814
                 109,            0.025682,           0.0072553,           0.0095748,             0.96625,             0.97674,             0.99096,             0.76891,            0.016324,           0.0043479,           0.0056178,           0.0078616,           0.0078616,           0.0078616
                 110,            0.024995,           0.0081285,           0.0079645,             0.96136,             0.97674,             0.99134,             0.60274,             0.01558,           0.0045055,           0.0056423,           0.0078418,           0.0078418,           0.0078418
                 111,            0.026193,           0.0082755,            0.010772,             0.95291,             0.97549,             0.99028,             0.65173,            0.018965,           0.0045767,           0.0059511,            0.007822,            0.007822,            0.007822
                 112,            0.027639,            0.009036,            0.010026,             0.95252,             0.96953,             0.98765,             0.78438,            0.012864,           0.0042058,           0.0064793,           0.0078022,           0.0078022,           0.0078022
                 113,            0.024657,           0.0078985,            0.012222,             0.95251,             0.96944,             0.98689,             0.72302,            0.017078,           0.0045838,           0.0065139,           0.0077824,           0.0077824,           0.0077824
